Y,X1,X2
A,11,0.7
A,7,0.8
A,14,0.9
A,11,1.1
A,12,1.2
B,13,0.8
B,9,1.0
B,7,1.1
B,10,1.2
A,12,0.6
A,8,0.9
A,15,1.0
A,12,1.3
A,13,1.4
B,14,0.9
B,10,1.1
B,8,1.2
B,11,1.3
A,10,0.5
A,6,0.7
A,13,0.8
A,10,1.0
A,11,1.1
B,12,0.7
B,8,0.9
B,6,1.0
B,9,1.1
A,11,0.4
A,7,0.6
A,14,0.7
A,11,0.9
A,12,1.0
B,13,0.6
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.5
A,8,0.8
A,15,0.9
A,12,1.1
A,13,1.2
B,14,0.8
B,10,1.0
B,8,1.1
B,11,1.2
A,10,0.6
A,6,0.8
A,13,0.9
A,10,1.1
A,11,1.2
B,12,0.8
B,8,1.0
B,6,1.1
B,9,1.2
A,11,0.7
A,7,0.9
A,14,1.0
A,11,1.2
A,12,1.3
B,13,0.9
B,9,1.1
B,7,1.2
B,10,1.3
A,12,0.7
A,8,1.0
A,15,1.1
A,12,1.4
A,13,1.5
B,14,1.0
B,10,1.2
B,8,1.3
B,11,1.4
A,10,0.8
A,6,1.0
A,13,1.1
A,10,1.3
A,11,1.4
B,12,0.9
B,8,1.1
B,6,1.2
B,9,1.3
A,11,0.7
A,7,0.8
A,14,0.9
A,11,1.1
A,12,1.2
B,13,0.8
B,9,1.0
B,7,1.1
B,10,1.2
A,12,0.6
A,8,0.9
A,15,1.0
A,12,1.3
A,13,1.4
B,14,0.9
B,10,1.1
B,8,1.2
B,11,1.3
A,10,0.5
A,6,0.7
A,13,0.8
A,10,1.0
A,11,1.1
B,12,0.7
B,8,0.9
B,6,1.0
B,9,1.1
A,11,0.4
A,7,0.6
A,14,0.7
A,11,0.9
A,12,1.0
B,13,0.6
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.5
A,8,0.8
A,15,0.9
A,12,1.1
A,13,1.2
B,14,0.8
B,10,1.0
B,8,1.1
B,11,1.2
A,10,0.6
A,6,0.8
A,13,0.9
A,10,1.1
A,11,1.2
B,12,0.8
B,8,1.0
B,6,1.1
B,9,1.2
A,11,0.7
A,7,0.9
A,14,1.0
A,11,1.2
A,12,1.3
B,13,0.9
B,9,1.1
B,7,1.2
B,10,1.3
A,12,0.7
A,8,1.0
A,15,1.1
A,12,1.4
A,13,1.5
B,14,1.0
B,10,1.2
B,8,1.3
B,11,1.4
A,10,0.8
A,6,1.0
A,13,1.1
A,10,1.3
A,11,1.4
B,12,0.9
B,8,1.1
B,6,1.2
B,9,1.3
A,14,1.0
A,9,1.2
A,16,1.3
A,13,1.5
A,15,1.6
B,16,1.0
B,12,1.2
B,10,1.3
B,13,1.4
A,15,0.8
A,10,1.0
A,17,1.1
A,14,1.4
A,16,1.5
B,17,1.1
B,13,1.3
B,11,1.4
B,14,1.5
A,12,0.9
A,8,1.1
A,15,1.2
A,12,1.4
A,13,1.5
B,14,0.9
B,10,1.1
B,8,1.2
B,11,1.3
A,11,0.8
A,7,1.0
A,14,1.1
A,11,1.3
A,12,1.4
B,13,0.8
B,9,1.0
B,7,1.1
B,10,1.2
A,13,0.7
A,9,0.9
A,16,1.0
A,13,1.2
A,14,1.3
B,15,0.9
B,11,1.1
B,9,1.2
B,12,1.3
A,10,0.7
A,6,0.9
A,13,1.0
A,10,1.2
A,11,1.3
B,12,0.7
B,8,0.9
B,6,1.0
B,9,1.1
A,12,0.6
A,8,0.8
A,15,0.9
A,12,1.1
A,13,1.2
B,14,0.8
B,10,1.0
B,8,1.1
B,11,1.2
A,11,0.5
A,7,0.7
A,14,0.8
A,11,1.0
A,12,1.1
B,13,0.6
B,9,0.8
B,7,0.9
B,10,1.0
A,12,0.4
A,8,0.7
A,15,0.8
A,12,1.0
A,13,1.1
B,14,0.7
B,10,0.9
B,8,1.0
B,11,1.1
A,10,0.6
A,6,0.8
A,13,0.9
A,10,1.1
A,11,1.2
B,12,0.6
B,8,0.8
B,6,0.9
B,9,1.0
A,11,0.4
A,7,0.6
A,14,0.7
A,11,0.9
A,7,1.1
A,14,1.2
A,11,1.4
A,12,1.5
B,13,0.9
B,9,1.1
B,7,1.2
B,10,1.3
A,12,0.8
A,8,1.0
A,15,1.1
A,12,1.3
A,13,1.4
B,14,0.9
B,10,1.1
B,8,1.2
B,11,1.3
A,10,0.7
A,6,0.9
A,13,1.0
A,10,1.2
A,11,1.3
B,12,0.7
B,8,0.9
B,6,1.0
B,9,1.1
A,11,0.6
A,7,0.8
A,14,0.9
A,11,1.1
A,12,1.2
B,13,0.8
B,9,1.0
B,7,1.1
B,10,1.2
A,13,0.7
A,9,0.9
A,16,1.0
A,13,1.2
A,14,1.3
B,15,0.9
B,11,1.1
B,9,1.2
B,12,1.3
A,10,0.8
A,6,1.0
A,13,1.1
A,10,1.3
A,11,1.4
B,12,0.8
B,8,1.0
B,6,1.1
B,9,1.2
A,12,0.7
A,8,0.9
A,15,1.0
A,12,1.2
A,13,1.3
B,14,0.8
B,10,1.0
B,8,1.1
B,11,1.2
A,11,0.5
A,7,0.7
A,14,0.8
A,11,1.0
A,12,1.1
B,13,0.6
